Parent Brand,Substitute Brand,Manufacturer,Source
Betnesol Forte Tablet,Beta 1mg Tablet,Mefro Pharmaceuticals Pvt Ltd,1mg
Betapen 0.5mg Tablet,Betnesol Tablet,GlaxoSmithKline Pharmaceuticals Limited,1mg
Betapen 0.5mg Tablet,Walacort Tablet,Wallace Pharmaceuticals Pvt Ltd,1mg
Betapen 0.5mg Tablet,Belar 0.5mg Tablet,Comed Chemicals Ltd,1mg
Betapen 0.5mg Tablet,Cortibet 0.5mg Tablet,Anhox Healthcare Pvt Ltd,1mg
Betapen 0.5mg Tablet,Betnesol 0.5mg Tablet,GlaxoSmithKline Pharmaceuticals Limited,1mg
Betnesol Tablet,Walacort Tablet,Wallace Pharmaceuticals Pvt Ltd,1mg
Betnesol Tablet,Belar 0.5mg Tablet,Comed Chemicals Ltd,1mg
Betnesol Tablet,Cortibet 0.5mg Tablet,Anhox Healthcare Pvt Ltd,1mg
Betnesol Tablet,Betalar 0.5mg Tablet,Lark Laboratories Ltd,1mg
Lupiderm GM Cream,Betzee - GM Cream,Apex Laboratories Pvt Ltd,1mg
Lupiderm GM Cream,Betamil GM Cream | Treats Skin Infection | Anti-Bacterial,Procter & Gamble Health Ltd,1mg
Betni Injection,Decdan B 4mg/ml Injection,Wockhardt Ltd,1mg
Betni Injection,Betsone 4mg/ml Injection,Medopharm,1mg
Betni Injection,Stemin Injection,Ind Swift Laboratories Ltd,1mg
Betni Injection,Decdan B 4mg/ml Injection,Wockhardt Ltd,1mg
Betni Injection,Vaqsone 4mg/ml Injection,Vaqure Remedies,1mg
Nbet 4mg Injection,Betkal Injection,Connect Life Pharma Pvt Ltd,1mg
Nbet 4mg Injection,Betamax 4mg Injection,Roussel Laboratories Pvt Ltd,1mg
Nbet 4mg Injection,Betasone 4mg Injection,SPM Drugs Pvt Ltd,1mg
Nbet 4mg Injection,Beta SP 4mg Injection,Parex Pharmaceuticals Pvt Ltd,1mg
Nbet 4mg Injection,Betavol 4mg Injection,Universal Micro Sciences,1mg
Solubet 0.5mg Tablet,Betnesol Tablet,GlaxoSmithKline Pharmaceuticals Limited,1mg
Solubet 0.5mg Tablet,Walacort Tablet,Wallace Pharmaceuticals Pvt Ltd,1mg
Solubet 0.5mg Tablet,Belar 0.5mg Tablet,Comed Chemicals Ltd,1mg
Solubet 0.5mg Tablet,Cortibet 0.5mg Tablet,Anhox Healthcare Pvt Ltd,1mg
Solubet 0.5mg Tablet,Betnesol 0.5mg Tablet,GlaxoSmithKline Pharmaceuticals Limited,1mg
FUCIbet Cream,Futop-B Cream,Oaknet Healthcare Pvt Ltd,1mg
FUCIbet Cream,Fusiderm-B Cream,Indi Pharma,1mg
FUCIbet Cream,Fusitop B Cream,Hygeia Pharmaceuticals,1mg
Diprobate Plus Lotion,Zydibate-Plus Lotion,Zydillac Dermaceuticals,1mg
Betnesol Oral Drops,Stemin 0.5mg Oral Drops,Ind Swift Laboratories Ltd,1mg
Betagee 4mg Injection,Betkal Injection,Connect Life Pharma Pvt Ltd,1mg
Betagee 4mg Injection,Betamax 4mg Injection,Roussel Laboratories Pvt Ltd,1mg
Betagee 4mg Injection,Betasone 4mg Injection,SPM Drugs Pvt Ltd,1mg
Betagee 4mg Injection,Beta SP 4mg Injection,Parex Pharmaceuticals Pvt Ltd,1mg
Betagee 4mg Injection,Betavol 4mg Injection,Universal Micro Sciences,1mg
Betamil GM Cream | Treats Skin Infection | Anti-Bacterial,Lupiderm GM Cream,Lupin Ltd,1mg
Betamil GM Cream | Treats Skin Infection | Anti-Bacterial,Betzee - GM Cream,Apex Laboratories Pvt Ltd,1mg
Diprobay Plus Lotion,Diprobate Plus Lotion,Mepromax Life Sciences Pvt Ltd,1mg
Diprobay Plus Lotion,Zydibate-Plus Lotion,Zydillac Dermaceuticals,1mg
